"instance_name","num_clients","num_vehicles","maximum_travel_time","capacity","best_known_value","replication","best_solution_value","number_of_iterations","number_of_stop","total_time_seconds","time_to_best_ms"
"Christofides_1.vrp",50,5,9999999,160,524.611,1,524.611,1000000,50,637,4814
"Christofides_1.vrp",50,5,9999999,160,524.611,10,524.611,1000000,50,638,264
"Christofides_1.vrp",50,5,9999999,160,524.611,2,524.611,1000000,50,641,172
"Christofides_1.vrp",50,5,9999999,160,524.611,3,524.611,1000000,50,622,2634
"Christofides_1.vrp",50,5,9999999,160,524.611,4,524.611,1000000,50,611,48
"Christofides_1.vrp",50,5,9999999,160,524.611,5,524.611,1000000,50,632,28817
"Christofides_1.vrp",50,5,9999999,160,524.611,6,524.611,1000000,50,618,308
"Christofides_1.vrp",50,5,9999999,160,524.611,7,524.611,1000000,50,620,5095
"Christofides_1.vrp",50,5,9999999,160,524.611,8,524.611,1000000,50,621,693
"Christofides_1.vrp",50,5,9999999,160,524.611,9,524.611,1000000,50,629,29
"Christofides_10.vrp",199,20,200,200,1395.85,1,1413.25,1000000,199,2106,2106610
"Christofides_10.vrp",199,20,200,200,1395.85,10,1415.04,1000000,199,2506,2455835
"Christofides_10.vrp",199,20,200,200,1395.85,2,1405.31,1000000,199,2176,2175523
"Christofides_10.vrp",199,20,200,200,1395.85,3,1409.99,1000000,199,2131,1936240
"Christofides_10.vrp",199,20,200,200,1395.85,4,1412.7,1000000,199,2082,2073739
"Christofides_10.vrp",199,20,200,200,1395.85,5,1412.24,1000000,199,2071,2056543
"Christofides_10.vrp",199,20,200,200,1395.85,6,1411.01,1000000,199,2494,2380514
"Christofides_10.vrp",199,20,200,200,1395.85,7,1411.66,1000000,199,2529,2375724
"Christofides_10.vrp",199,20,200,200,1395.85,8,1408.31,1000000,199,2469,2438217
"Christofides_10.vrp",199,20,200,200,1395.85,9,1408.57,1000000,199,2490,2467665
"Christofides_11.vrp",120,7,9999999,200,1042.11,1,1042.11,1000000,120,1193,721600
"Christofides_11.vrp",120,7,9999999,200,1042.11,10,1042.11,1000000,120,1416,949218
"Christofides_11.vrp",120,7,9999999,200,1042.11,2,1042.11,1000000,120,1198,754871
"Christofides_11.vrp",120,7,9999999,200,1042.11,3,1042.11,1000000,120,1278,735394
"Christofides_11.vrp",120,7,9999999,200,1042.11,4,1042.11,1000000,120,1248,828875
"Christofides_11.vrp",120,7,9999999,200,1042.11,5,1042.11,1000000,120,1179,543549
"Christofides_11.vrp",120,7,9999999,200,1042.11,6,1042.11,1000000,120,1397,760314
"Christofides_11.vrp",120,7,9999999,200,1042.11,7,1042.11,1000000,120,1416,591995
"Christofides_11.vrp",120,7,9999999,200,1042.11,8,1042.11,1000000,120,1431,1134994
"Christofides_11.vrp",120,7,9999999,200,1042.11,9,1042.11,1000000,120,1414,632605
"Christofides_12.vrp",100,12,9999999,200,819.558,1,819.557,1000000,100,627,139
"Christofides_12.vrp",100,12,9999999,200,819.558,10,819.557,1000000,100,787,243769
"Christofides_12.vrp",100,12,9999999,200,819.558,2,819.557,1000000,100,706,311
"Christofides_12.vrp",100,12,9999999,200,819.558,3,819.557,1000000,100,704,288326
"Christofides_12.vrp",100,12,9999999,200,819.558,4,819.557,1000000,100,650,232711
"Christofides_12.vrp",100,12,9999999,200,819.558,5,819.557,1000000,100,688,588
"Christofides_12.vrp",100,12,9999999,200,819.558,6,819.557,1000000,100,783,153558
"Christofides_12.vrp",100,12,9999999,200,819.558,7,819.557,1000000,100,787,184
"Christofides_12.vrp",100,12,9999999,200,819.558,8,819.557,1000000,100,785,200304
"Christofides_12.vrp",100,12,9999999,200,819.558,9,819.557,1000000,100,790,299
"Christofides_13.vrp",120,13,720,200,1541.14,1,1543.85,1000000,120,936,68995
"Christofides_13.vrp",120,13,720,200,1541.14,10,1542.86,1000000,120,1119,465965
"Christofides_13.vrp",120,13,720,200,1541.14,2,1542.86,1000000,120,948,915459
"Christofides_13.vrp",120,13,720,200,1541.14,3,1542.86,1000000,120,1010,623679
"Christofides_13.vrp",120,13,720,200,1541.14,4,1543.85,1000000,120,950,122538
"Christofides_13.vrp",120,13,720,200,1541.14,5,1543.85,1000000,120,964,328088
"Christofides_13.vrp",120,13,720,200,1541.14,6,1542.86,1000000,120,1116,1104551
"Christofides_13.vrp",120,13,720,200,1541.14,7,1543.85,1000000,120,1120,721449
"Christofides_13.vrp",120,13,720,200,1541.14,8,1543.18,1000000,120,1106,1060298
"Christofides_13.vrp",120,13,720,200,1541.14,9,1543.36,1000000,120,1112,1112603
"Christofides_14.vrp",100,11,1040,200,866.365,1,866.365,1000000,100,1307,909601
"Christofides_14.vrp",100,11,1040,200,866.365,10,866.365,1000000,100,1508,388012
"Christofides_14.vrp",100,11,1040,200,866.365,2,866.365,1000000,100,1311,219350
"Christofides_14.vrp",100,11,1040,200,866.365,3,866.365,1000000,100,1339,929746
"Christofides_14.vrp",100,11,1040,200,866.365,4,866.365,1000000,100,1279,1205558
"Christofides_14.vrp",100,11,1040,200,866.365,5,866.365,1000000,100,1283,26601
"Christofides_14.vrp",100,11,1040,200,866.365,6,866.365,1000000,100,1492,1241549
"Christofides_14.vrp",100,11,1040,200,866.365,7,866.365,1000000,100,1506,634
"Christofides_14.vrp",100,11,1040,200,866.365,8,866.365,1000000,100,1489,1426491
"Christofides_14.vrp",100,11,1040,200,866.365,9,866.365,1000000,100,1477,907919
"Christofides_2.vrp",75,12,9999999,140,835.262,1,835.321,1000000,75,848,427712
"Christofides_2.vrp",75,12,9999999,140,835.262,10,835.321,1000000,75,813,492297
"Christofides_2.vrp",75,12,9999999,140,835.262,2,835.321,1000000,75,826,615278
"Christofides_2.vrp",75,12,9999999,140,835.262,3,835.321,1000000,75,842,698092
"Christofides_2.vrp",75,12,9999999,140,835.262,4,835.321,1000000,75,847,378084
"Christofides_2.vrp",75,12,9999999,140,835.262,5,835.321,1000000,75,809,311307
"Christofides_2.vrp",75,12,9999999,140,835.262,6,835.321,1000000,75,828,99839
"Christofides_2.vrp",75,12,9999999,140,835.262,7,835.321,1000000,75,844,510405
"Christofides_2.vrp",75,12,9999999,140,835.262,8,835.321,1000000,75,837,537859
"Christofides_2.vrp",75,12,9999999,140,835.262,9,835.321,1000000,75,823,249683
"Christofides_3.vrp",100,10,9999999,200,826.137,1,827.393,1000000,100,1002,650285
"Christofides_3.vrp",100,10,9999999,200,826.137,10,827.393,1000000,100,994,330267
"Christofides_3.vrp",100,10,9999999,200,826.137,2,827.393,1000000,100,969,229007
"Christofides_3.vrp",100,10,9999999,200,826.137,3,827.393,1000000,100,972,110665
"Christofides_3.vrp",100,10,9999999,200,826.137,4,827.393,1000000,100,1010,13690
"Christofides_3.vrp",100,10,9999999,200,826.137,5,827.393,1000000,100,983,336629
"Christofides_3.vrp",100,10,9999999,200,826.137,6,828.344,1000000,100,971,735700
"Christofides_3.vrp",100,10,9999999,200,826.137,7,827.393,1000000,100,978,99304
"Christofides_3.vrp",100,10,9999999,200,826.137,8,827.393,1000000,100,977,399877
"Christofides_3.vrp",100,10,9999999,200,826.137,9,827.393,1000000,100,1011,171207
"Christofides_4.vrp",150,14,9999999,200,1028.42,1,1033.04,1000000,150,1487,1480145
"Christofides_4.vrp",150,14,9999999,200,1028.42,10,1033.02,1000000,150,1386,710490
