"instance_name","num_clients","num_vehicles","maximum_travel_time","capacity","best_known_value","replication","best_solution_value","number_of_iterations","number_of_stop","total_time_seconds","time_to_best_ms"
"Christofides_1.vrp",50,5,9999999,160,524.611,1,524.611,100000,50,88,1608
"Christofides_1.vrp",50,5,9999999,160,524.611,10,524.611,100000,50,90,3039
"Christofides_1.vrp",50,5,9999999,160,524.611,2,524.611,100000,50,91,669
"Christofides_1.vrp",50,5,9999999,160,524.611,3,524.611,100000,50,97,132
"Christofides_1.vrp",50,5,9999999,160,524.611,4,524.611,100000,50,92,3858
"Christofides_1.vrp",50,5,9999999,160,524.611,5,524.611,100000,50,93,39
"Christofides_1.vrp",50,5,9999999,160,524.611,6,524.611,100000,50,95,3990
"Christofides_1.vrp",50,5,9999999,160,524.611,7,524.611,100000,50,99,11364
"Christofides_1.vrp",50,5,9999999,160,524.611,8,524.611,100000,50,92,693
"Christofides_1.vrp",50,5,9999999,160,524.611,9,524.611,100000,50,86,2198
"Christofides_10.vrp",199,20,200,200,1395.85,1,1426.6,100000,199,431,396007
"Christofides_10.vrp",199,20,200,200,1395.85,10,1427.36,100000,199,404,388837
"Christofides_10.vrp",199,20,200,200,1395.85,2,1416.1,100000,199,413,201594
"Christofides_10.vrp",199,20,200,200,1395.85,3,1415.47,100000,199,419,409571
"Christofides_10.vrp",199,20,200,200,1395.85,4,1425.8,100000,199,401,248452
"Christofides_10.vrp",199,20,200,200,1395.85,5,1411.29,100000,199,391,391111
"Christofides_10.vrp",199,20,200,200,1395.85,6,1433.36,100000,199,412,406607
"Christofides_10.vrp",199,20,200,200,1395.85,7,1414.43,100000,199,419,406423
"Christofides_10.vrp",199,20,200,200,1395.85,8,1429.52,100000,199,412,380231
"Christofides_10.vrp",199,20,200,200,1395.85,9,1415.34,100000,199,415,414922
"Christofides_11.vrp",120,7,9999999,200,1042.11,1,1042.11,100000,120,196,165902
"Christofides_11.vrp",120,7,9999999,200,1042.11,10,1042.11,100000,120,212,180185
"Christofides_11.vrp",120,7,9999999,200,1042.11,2,1045.14,100000,120,194,136116
"Christofides_11.vrp",120,7,9999999,200,1042.11,3,1042.11,100000,120,207,174121
"Christofides_11.vrp",120,7,9999999,200,1042.11,4,1042.11,100000,120,214,144128
"Christofides_11.vrp",120,7,9999999,200,1042.11,5,1048.33,100000,120,211,184874
"Christofides_11.vrp",120,7,9999999,200,1042.11,6,1042.11,100000,120,193,156774
"Christofides_11.vrp",120,7,9999999,200,1042.11,7,1042.11,100000,120,199,164680
"Christofides_11.vrp",120,7,9999999,200,1042.11,8,1042.11,100000,120,199,157013
"Christofides_11.vrp",120,7,9999999,200,1042.11,9,1042.11,100000,120,192,81164
"Christofides_12.vrp",100,12,9999999,200,819.558,1,819.557,100000,100,125,93006
"Christofides_12.vrp",100,12,9999999,200,819.558,10,819.557,100000,100,130,83719
"Christofides_12.vrp",100,12,9999999,200,819.558,2,819.558,100000,100,119,42810
"Christofides_12.vrp",100,12,9999999,200,819.558,3,819.557,100000,100,132,245
"Christofides_12.vrp",100,12,9999999,200,819.558,4,819.557,100000,100,126,109015
"Christofides_12.vrp",100,12,9999999,200,819.558,5,819.557,100000,100,118,315
"Christofides_12.vrp",100,12,9999999,200,819.558,6,819.557,100000,100,128,37385
"Christofides_12.vrp",100,12,9999999,200,819.558,7,819.557,100000,100,127,96002
"Christofides_12.vrp",100,12,9999999,200,819.558,8,819.557,100000,100,125,254
"Christofides_12.vrp",100,12,9999999,200,819.558,9,819.557,100000,100,122,664
"Christofides_13.vrp",120,13,720,200,1541.14,1,1543.36,100000,120,181,179988
"Christofides_13.vrp",120,13,720,200,1541.14,10,1543.85,100000,120,193,169089
"Christofides_13.vrp",120,13,720,200,1541.14,2,1543.85,100000,120,178,52607
"Christofides_13.vrp",120,13,720,200,1541.14,3,1542.86,100000,120,174,167193
"Christofides_13.vrp",120,13,720,200,1541.14,4,1543.85,100000,120,196,61299
"Christofides_13.vrp",120,13,720,200,1541.14,5,1544.85,100000,120,183,112672
"Christofides_13.vrp",120,13,720,200,1541.14,6,1542.86,100000,120,167,133073
"Christofides_13.vrp",120,13,720,200,1541.14,7,1542.86,100000,120,188,160279
"Christofides_13.vrp",120,13,720,200,1541.14,8,1542.86,100000,120,172,157337
"Christofides_13.vrp",120,13,720,200,1541.14,9,1543.85,100000,120,175,75924
"Christofides_14.vrp",100,11,1040,200,866.365,1,866.365,100000,100,231,25697
"Christofides_14.vrp",100,11,1040,200,866.365,10,866.529,100000,100,239,77887
"Christofides_14.vrp",100,11,1040,200,866.365,2,866.365,100000,100,225,183673
"Christofides_14.vrp",100,11,1040,200,866.365,3,867.129,100000,100,224,114648
"Christofides_14.vrp",100,11,1040,200,866.365,4,866.365,100000,100,225,53339
"Christofides_14.vrp",100,11,1040,200,866.365,5,866.365,100000,100,221,7570
"Christofides_14.vrp",100,11,1040,200,866.365,6,866.529,100000,100,217,67238
"Christofides_14.vrp",100,11,1040,200,866.365,7,866.365,100000,100,211,87717
"Christofides_14.vrp",100,11,1040,200,866.365,8,866.365,100000,100,227,146425
"Christofides_14.vrp",100,11,1040,200,866.365,9,866.365,100000,100,226,113518
"Christofides_2.vrp",75,12,9999999,140,835.262,1,835.766,100000,75,149,58913
"Christofides_2.vrp",75,12,9999999,140,835.262,10,835.766,100000,75,152,115955
"Christofides_2.vrp",75,12,9999999,140,835.262,2,835.321,100000,75,157,120786
"Christofides_2.vrp",75,12,9999999,140,835.262,3,835.767,100000,75,149,116435
"Christofides_2.vrp",75,12,9999999,140,835.262,4,835.321,100000,75,157,157592
"Christofides_2.vrp",75,12,9999999,140,835.262,5,841.799,100000,75,161,85573
"Christofides_2.vrp",75,12,9999999,140,835.262,6,835.321,100000,75,155,153504
"Christofides_2.vrp",75,12,9999999,140,835.262,7,835.321,100000,75,156,26995
"Christofides_2.vrp",75,12,9999999,140,835.262,8,839.394,100000,75,157,103740
"Christofides_2.vrp",75,12,9999999,140,835.262,9,835.321,100000,75,154,142687
"Christofides_3.vrp",100,10,9999999,200,826.137,1,827.393,100000,100,173,38194
"Christofides_3.vrp",100,10,9999999,200,826.137,10,829.621,100000,100,182,61913
"Christofides_3.vrp",100,10,9999999,200,826.137,2,828.344,100000,100,170,57517
"Christofides_3.vrp",100,10,9999999,200,826.137,3,828.344,100000,100,180,171586
"Christofides_3.vrp",100,10,9999999,200,826.137,4,829.447,100000,100,182,138154
"Christofides_3.vrp",100,10,9999999,200,826.137,5,829.447,100000,100,185,62796
"Christofides_3.vrp",100,10,9999999,200,826.137,6,829.447,100000,100,172,64601
"Christofides_3.vrp",100,10,9999999,200,826.137,7,827.393,100000,100,173,25861
"Christofides_3.vrp",100,10,9999999,200,826.137,8,830.738,100000,100,178,85400
"Christofides_3.vrp",100,10,9999999,200,826.137,9,828.344,100000,100,184,182809
"Christofides_4.vrp",150,14,9999999,200,1028.42,1,1044.79,100000,150,277,78601
"Christofides_4.vrp",150,14,9999999,200,1028.42,10,1047.19,100000,150,270,121282
"Christofides_4.vrp",150,14,9999999,200,1028.42,2,1036.71,100000,150,283,282504
"Christofides_4.vrp",150,14,9999999,200,1028.42,3,1037.94,100000,150,272,218245
"Christofides_4.vrp",150,14,9999999,200,1028.42,4,1034.47,100000,150,269,192155
"Christofides_4.vrp",150,14,9999999,200,1028.42,5,1038.17,100000,150,257,63967
"Christofides_4.vrp",150,14,9999999,200,1028.42,6,1035.78,100000,150,280,254631
"Christofides_4.vrp",150,14,9999999,200,1028.42,7,1039.92,100000,150,280,261351
"Christofides_4.vrp",150,14,9999999,200,1028.42,8,1043.03,100000,150,270,155741
"Christofides_4.vrp",150,14,9999999,200,1028.42,9,1046.09,100000,150,271,158132
"Christofides_5.vrp",199,20,9999999,200,1291.289144,1,1330.87,100000,199,447,434656
"Christofides_5.vrp",199,20,9999999,200,1291.289144,10,1319.51,100000,199,448,444877
"Christofides_5.vrp",199,20,9999999,200,1291.289144,2,1323.96,100000,199,458,433016
"Christofides_5.vrp",199,20,9999999,200,1291.289144,3,1334.84,100000,199,456,452637
"Christofides_5.vrp",199,20,9999999,200,1291.289144,4,1333.93,100000,199,454,451018
"Christofides_5.vrp",199,20,9999999,200,1291.289144,5,1325.67,100000,199,466,465106
"Christofides_5.vrp",199,20,9999999,200,1291.289144,6,1322.37,100000,201,446,329821
"Christofides_5.vrp",199,20,9999999,200,1291.289144,7,1320.37,100000,201,462,369679
"Christofides_5.vrp",199,20,9999999,200,1291.289144,8,1324.56,100000,201,464,441444
"Christofides_5.vrp",199,20,9999999,200,1291.289144,9,1319.69,100000,199,451,449587
"Christofides_6.vrp",50,7,200,160,555.43,1,555.43,100000,50,78,243
"Christofides_6.vrp",50,7,200,160,555.43,10,555.43,100000,50,82,6658
"Christofides_6.vrp",50,7,200,160,555.43,2,555.43,100000,50,78,2098
"Christofides_6.vrp",50,7,200,160,555.43,3,555.43,100000,50,86,4730
"Christofides_6.vrp",50,7,200,160,555.43,4,555.43,100000,50,88,4797
"Christofides_6.vrp",50,7,200,160,555.43,5,555.43,100000,50,74,5834
"Christofides_6.vrp",50,7,200,160,555.43,6,555.43,100000,50,80,610
"Christofides_6.vrp",50,7,200,160,555.43,7,555.43,100000,50,81,1123
"Christofides_6.vrp",50,7,200,160,555.43,8,555.43,100000,50,82,1291
"Christofides_6.vrp",50,7,200,160,555.43,9,555.43,100000,50,80,12925
"Christofides_7.vrp",75,13,160,140,909.675,1,912.475,100000,75,159,35708
"Christofides_7.vrp",75,13,160,140,909.675,10,911.816,100000,75,165,150845
"Christofides_7.vrp",75,13,160,140,909.675,2,912.475,100000,75,167,87482
"Christofides_7.vrp",75,13,160,140,909.675,3,912.475,100000,75,167,4465
"Christofides_7.vrp",75,13,160,140,909.675,4,911.761,100000,75,163,114152
"Christofides_7.vrp",75,13,160,140,909.675,5,909.675,100000,75,163,151287
"Christofides_7.vrp",75,13,160,140,909.675,6,909.675,100000,75,161,124482
"Christofides_7.vrp",75,13,160,140,909.675,7,909.675,100000,75,163,70761
"Christofides_7.vrp",75,13,160,140,909.675,8,909.675,100000,75,167,166408
"Christofides_7.vrp",75,13,160,140,909.675,9,909.675,100000,75,168,106660
"Christofides_8.vrp",100,10,230,200,865.945,1,874.899,100000,100,159,145848
"Christofides_8.vrp",100,10,230,200,865.945,10,865.944,100000,100,154,69049
"Christofides_8.vrp",100,10,230,200,865.945,2,874.336,100000,100,158,156276
"Christofides_8.vrp",100,10,230,200,865.945,3,865.944,100000,100,153,31804
"Christofides_8.vrp",100,10,230,200,865.945,4,874.336,100000,100,162,145372
"Christofides_8.vrp",100,10,230,200,865.945,5,873.862,100000,100,162,52384
"Christofides_8.vrp",100,10,230,200,865.945,6,865.944,100000,100,156,106985
"Christofides_8.vrp",100,10,230,200,865.945,7,875.331,100000,100,161,139301
"Christofides_8.vrp",100,10,230,200,865.945,8,865.945,100000,100,161,66481
"Christofides_8.vrp",100,10,230,200,865.945,9,873.862,100000,100,169,146924
"Christofides_9.vrp",150,16,200,200,1162.55,1,1167.93,100000,150,290,289608
"Christofides_9.vrp",150,16,200,200,1162.55,10,1169.42,100000,150,312,247828
"Christofides_9.vrp",150,16,200,200,1162.55,2,1170.28,100000,150,292,253945
"Christofides_9.vrp",150,16,200,200,1162.55,3,1169.36,100000,150,285,280088
"Christofides_9.vrp",150,16,200,200,1162.55,4,1167.64,100000,150,286,286330
"Christofides_9.vrp",150,16,200,200,1162.55,5,1168.11,100000,150,291,274188
"Christofides_9.vrp",150,16,200,200,1162.55,6,1169.45,100000,150,283,283282
"Christofides_9.vrp",150,16,200,200,1162.55,7,1171.73,100000,150,302,231347
"Christofides_9.vrp",150,16,200,200,1162.55,8,1169.4,100000,150,272,156160
"Christofides_9.vrp",150,16,200,200,1162.55,9,1165.05,100000,150,285,278344
"E072-04f.dat",71,4,9999999,30000,237,1,241.974,100000,71,89,83803
"E072-04f.dat",71,4,9999999,30000,237,10,241.974,100000,71,88,25106
"E072-04f.dat",71,4,9999999,30000,237,2,241.974,100000,71,82,46250
"E072-04f.dat",71,4,9999999,30000,237,3,241.974,100000,71,81,44175
"E072-04f.dat",71,4,9999999,30000,237,4,241.974,100000,71,91,18387
"E072-04f.dat",71,4,9999999,30000,237,5,241.974,100000,71,87,36365
"E072-04f.dat",71,4,9999999,30000,237,6,241.974,100000,71,86,6818
"E072-04f.dat",71,4,9999999,30000,237,7,241.974,100000,71,84,15890
"E072-04f.dat",71,4,9999999,30000,237,8,241.974,100000,71,86,41990
"E072-04f.dat",71,4,9999999,30000,237,9,241.974,100000,71,87,14842
"E076-07u.dat",75,7,9999999,220,682,1,692.105,100000,75,138,98463
"E076-07u.dat",75,7,9999999,220,682,10,687.603,100000,75,164,96293
"E076-07u.dat",75,7,9999999,220,682,2,687.603,100000,75,137,114171
"E076-07u.dat",75,7,9999999,220,682,3,693.339,100000,75,136,82644
"E076-07u.dat",75,7,9999999,220,682,4,687.603,100000,75,147,115526
"E076-07u.dat",75,7,9999999,220,682,5,690.204,100000,75,136,76304
"E076-07u.dat",75,7,9999999,220,682,6,693.304,100000,75,159,74519
"E076-07u.dat",75,7,9999999,220,682,7,687.603,100000,75,163,163022
"E076-07u.dat",75,7,9999999,220,682,8,691.908,100000,75,156,80018
"E076-07u.dat",75,7,9999999,220,682,9,687.603,100000,75,157,54815
"E076-08s.dat",75,8,9999999,180,735,1,740.655,100000,75,143,83538
"E076-08s.dat",75,8,9999999,180,735,10,740.655,100000,75,137,70689
"E076-08s.dat",75,8,9999999,180,735,2,740.655,100000,75,134,117756
"E076-08s.dat",75,8,9999999,180,735,3,743.096,100000,75,138,40798
"E076-08s.dat",75,8,9999999,180,735,4,743.975,100000,75,157,71784
"E076-08s.dat",75,8,9999999,180,735,5,740.655,100000,75,127,76546
"E076-08s.dat",75,8,9999999,180,735,6,740.655,100000,75,134,63300
"E076-08s.dat",75,8,9999999,180,735,7,740.655,100000,75,140,61915
"E076-08s.dat",75,8,9999999,180,735,8,740.655,100000,75,137,115563
