"instance_name","num_clients","num_vehicles","maximum_travel_time","capacity","best_known_value","replication","best_solution_value","number_of_iterations","number_of_stop","total_time_seconds","time_to_best_ms"
"Christofides_1.vrp",50,0,9999999,160,524.611,1,550.696,10000,50,4,1454
"Christofides_1.vrp",50,0,9999999,160,524.611,10,552.188,10000,50,5,867
"Christofides_1.vrp",50,0,9999999,160,524.611,2,552.188,10000,50,5,430
"Christofides_1.vrp",50,0,9999999,160,524.611,3,550.696,10000,50,5,1386
"Christofides_1.vrp",50,0,9999999,160,524.611,4,550.696,10000,50,5,1664
"Christofides_1.vrp",50,0,9999999,160,524.611,5,552.188,10000,50,5,662
"Christofides_1.vrp",50,0,9999999,160,524.611,6,550.696,10000,50,4,4301
"Christofides_1.vrp",50,0,9999999,160,524.611,7,552.188,10000,50,4,1222
"Christofides_1.vrp",50,0,9999999,160,524.611,8,552.188,10000,50,5,337
"Christofides_1.vrp",50,0,9999999,160,524.611,9,550.696,10000,50,5,4286
"Christofides_10.vrp",199,0,200,200,1395.85,1,1469.49,10000,199,13,13262
"Christofides_10.vrp",199,0,200,200,1395.85,10,1480.81,10000,199,16,16893
"Christofides_10.vrp",199,0,200,200,1395.85,2,1482.56,10000,199,16,16584
"Christofides_10.vrp",199,0,200,200,1395.85,3,1483.27,10000,199,16,16665
"Christofides_10.vrp",199,0,200,200,1395.85,4,1487.55,10000,199,16,16262
"Christofides_10.vrp",199,0,200,200,1395.85,5,1464.56,10000,199,17,13375
"Christofides_10.vrp",199,0,200,200,1395.85,6,1495.51,10000,199,14,13367
"Christofides_10.vrp",199,0,200,200,1395.85,7,1484.33,10000,199,17,16579
"Christofides_10.vrp",199,0,200,200,1395.85,8,1485.7,10000,199,17,17280
"Christofides_10.vrp",199,0,200,200,1395.85,9,1467.62,10000,199,16,16786
"Christofides_11.vrp",120,0,9999999,200,1042.11,1,1109.29,10000,120,10,10590
"Christofides_11.vrp",120,0,9999999,200,1042.11,10,1111.46,10000,120,13,9950
"Christofides_11.vrp",120,0,9999999,200,1042.11,2,1106.68,10000,120,12,12379
"Christofides_11.vrp",120,0,9999999,200,1042.11,3,1109.58,10000,120,12,9043
"Christofides_11.vrp",120,0,9999999,200,1042.11,4,1107.91,10000,120,13,12940
"Christofides_11.vrp",120,0,9999999,200,1042.11,5,1107.57,10000,120,12,12583
"Christofides_11.vrp",120,0,9999999,200,1042.11,6,1111.15,10000,120,10,8634
"Christofides_11.vrp",120,0,9999999,200,1042.11,7,1109.59,10000,120,12,12199
"Christofides_11.vrp",120,0,9999999,200,1042.11,8,1106.95,10000,120,12,12757
"Christofides_11.vrp",120,0,9999999,200,1042.11,9,1106.03,10000,120,12,12840
"Christofides_12.vrp",100,0,9999999,200,819.558,1,905.962,10000,100,10,4201
"Christofides_12.vrp",100,0,9999999,200,819.558,10,905.343,10000,100,13,6822
"Christofides_12.vrp",100,0,9999999,200,819.558,2,906.419,10000,100,13,7369
"Christofides_12.vrp",100,0,9999999,200,819.558,3,906.997,10000,100,12,5820
"Christofides_12.vrp",100,0,9999999,200,819.558,4,906.468,10000,100,12,4372
"Christofides_12.vrp",100,0,9999999,200,819.558,5,906.278,10000,100,13,8494
"Christofides_12.vrp",100,0,9999999,200,819.558,6,913.557,10000,100,10,3608
"Christofides_12.vrp",100,0,9999999,200,819.558,7,905.962,10000,100,12,12393
"Christofides_12.vrp",100,0,9999999,200,819.558,8,905.343,10000,100,13,10143
"Christofides_12.vrp",100,0,9999999,200,819.558,9,906.401,10000,100,12,11719
"Christofides_13.vrp",120,0,720,200,1541.14,1,1544.15,10000,120,6,6083
"Christofides_13.vrp",120,0,720,200,1541.14,10,1549.64,10000,120,8,7149
"Christofides_13.vrp",120,0,720,200,1541.14,2,1549.59,10000,120,8,7617
"Christofides_13.vrp",120,0,720,200,1541.14,3,1546.41,10000,120,8,8351
"Christofides_13.vrp",120,0,720,200,1541.14,4,1548.52,10000,120,8,6858
"Christofides_13.vrp",120,0,720,200,1541.14,5,1555.54,10000,120,8,8441
"Christofides_13.vrp",120,0,720,200,1541.14,6,1546.75,10000,120,6,6455
"Christofides_13.vrp",120,0,720,200,1541.14,7,1546.46,10000,120,8,8066
"Christofides_13.vrp",120,0,720,200,1541.14,8,1552.81,10000,120,8,6814
"Christofides_13.vrp",120,0,720,200,1541.14,9,1543.72,10000,120,8,7611
"Christofides_14.vrp",100,0,1040,200,866.365,1,912.078,10000,100,10,8523
"Christofides_14.vrp",100,0,1040,200,866.365,10,911.127,10000,100,12,12682
"Christofides_14.vrp",100,0,1040,200,866.365,2,911.564,10000,100,13,13136
"Christofides_14.vrp",100,0,1040,200,866.365,3,911.477,10000,100,12,11723
"Christofides_14.vrp",100,0,1040,200,866.365,4,913.833,10000,100,12,11844
"Christofides_14.vrp",100,0,1040,200,866.365,5,912.078,10000,100,13,9662
"Christofides_14.vrp",100,0,1040,200,866.365,6,911.727,10000,100,10,9367
"Christofides_14.vrp",100,0,1040,200,866.365,7,911.477,10000,100,12,11676
"Christofides_14.vrp",100,0,1040,200,866.365,8,912.327,10000,100,13,6596
"Christofides_14.vrp",100,0,1040,200,866.365,9,911.477,10000,100,12,10458
"Christofides_2.vrp",75,0,9999999,140,835.262,1,871.751,10000,75,5,5150
"Christofides_2.vrp",75,0,9999999,140,835.262,10,871.627,10000,75,7,3811
"Christofides_2.vrp",75,0,9999999,140,835.262,2,875.151,10000,75,7,4863
"Christofides_2.vrp",75,0,9999999,140,835.262,3,873.061,10000,75,7,5531
"Christofides_2.vrp",75,0,9999999,140,835.262,4,871.751,10000,75,7,7544
"Christofides_2.vrp",75,0,9999999,140,835.262,5,874.223,10000,75,7,6256
"Christofides_2.vrp",75,0,9999999,140,835.262,6,874.78,10000,75,5,4646
"Christofides_2.vrp",75,0,9999999,140,835.262,7,877.169,10000,75,7,5647
"Christofides_2.vrp",75,0,9999999,140,835.262,8,878.78,10000,75,7,7221
"Christofides_2.vrp",75,0,9999999,140,835.262,9,876.864,10000,75,6,6526
"Christofides_3.vrp",100,0,9999999,200,826.137,1,869.677,10000,100,9,1173
"Christofides_3.vrp",100,0,9999999,200,826.137,10,875.625,10000,100,11,7231
"Christofides_3.vrp",100,0,9999999,200,826.137,2,867.798,10000,100,11,10628
"Christofides_3.vrp",100,0,9999999,200,826.137,3,866.836,10000,100,10,6495
"Christofides_3.vrp",100,0,9999999,200,826.137,4,867.798,10000,100,10,3239
"Christofides_3.vrp",100,0,9999999,200,826.137,5,872.729,10000,100,9,7521
"Christofides_3.vrp",100,0,9999999,200,826.137,6,872.333,10000,100,9,7085
"Christofides_3.vrp",100,0,9999999,200,826.137,7,869.994,10000,100,11,8092
"Christofides_3.vrp",100,0,9999999,200,826.137,8,867.798,10000,100,10,6601
"Christofides_3.vrp",100,0,9999999,200,826.137,9,868.963,10000,100,9,7010
"Christofides_4.vrp",150,0,9999999,200,1028.42,1,1100.72,10000,150,13,11675
"Christofides_4.vrp",150,0,9999999,200,1028.42,10,1092.91,10000,150,17,15525
"Christofides_4.vrp",150,0,9999999,200,1028.42,2,1091.93,10000,150,17,16699
"Christofides_4.vrp",150,0,9999999,200,1028.42,3,1098.65,10000,150,16,15975
"Christofides_4.vrp",150,0,9999999,200,1028.42,4,1103.18,10000,150,15,15717
"Christofides_4.vrp",150,0,9999999,200,1028.42,5,1096.28,10000,150,17,16480
"Christofides_4.vrp",150,0,9999999,200,1028.42,6,1108.57,10000,150,12,12823
"Christofides_4.vrp",150,0,9999999,200,1028.42,7,1097.19,10000,150,14,13930
"Christofides_4.vrp",150,0,9999999,200,1028.42,8,1109.45,10000,150,17,17802
"Christofides_4.vrp",150,0,9999999,200,1028.42,9,1112.93,10000,150,17,17881
"Christofides_5.vrp",199,0,9999999,200,1291.289144,1,1395.19,10000,199,22,20538
"Christofides_5.vrp",199,0,9999999,200,1291.289144,10,1401.75,10000,199,22,21620
"Christofides_5.vrp",199,0,9999999,200,1291.289144,2,1395.62,10000,199,21,16184
"Christofides_5.vrp",199,0,9999999,200,1291.289144,3,1407.02,10000,199,25,25444
"Christofides_5.vrp",199,0,9999999,200,1291.289144,4,1392.25,10000,199,25,17225
"Christofides_5.vrp",199,0,9999999,200,1291.289144,5,1391.54,10000,199,20,19792
"Christofides_5.vrp",199,0,9999999,200,1291.289144,6,1387.82,10000,199,19,18592
"Christofides_5.vrp",199,0,9999999,200,1291.289144,7,1401.78,10000,199,24,24828
