"instance_name","num_clients","num_vehicles","maximum_travel_time","capacity","best_known_value","replication","best_solution_value","number_of_iterations","number_of_stop","total_time_seconds","time_to_best_ms"
"Christofides_1.vrp",50,0,9999999,160,524.611,1,548.451,10000,52,7,4996
"Christofides_1.vrp",50,0,9999999,160,524.611,10,547.961,10000,50,5,3843
"Christofides_1.vrp",50,0,9999999,160,524.611,2,548,10000,51,7,4438
"Christofides_1.vrp",50,0,9999999,160,524.611,3,548.438,10000,51,7,2113
"Christofides_1.vrp",50,0,9999999,160,524.611,4,547.961,10000,50,5,1566
"Christofides_1.vrp",50,0,9999999,160,524.611,5,547.961,10000,50,5,5013
"Christofides_1.vrp",50,0,9999999,160,524.611,6,547.961,10000,50,6,4517
"Christofides_1.vrp",50,0,9999999,160,524.611,7,547.961,10000,50,6,3150
"Christofides_1.vrp",50,0,9999999,160,524.611,8,548.771,10000,50,6,3302
"Christofides_1.vrp",50,0,9999999,160,524.611,9,547.961,10000,50,5,3570
"Christofides_10.vrp",199,0,200,200,1395.85,1,1488.19,10000,201,27,26854
"Christofides_10.vrp",199,0,200,200,1395.85,10,1486.71,10000,203,22,16576
"Christofides_10.vrp",199,0,200,200,1395.85,2,1484.68,10000,201,27,26256
"Christofides_10.vrp",199,0,200,200,1395.85,3,1474.76,10000,201,28,28118
"Christofides_10.vrp",199,0,200,200,1395.85,4,1489.59,10000,200,22,17126
"Christofides_10.vrp",199,0,200,200,1395.85,5,1491.37,10000,205,23,22066
"Christofides_10.vrp",199,0,200,200,1395.85,6,1492.49,10000,202,28,24773
"Christofides_10.vrp",199,0,200,200,1395.85,7,1496.47,10000,200,26,20928
"Christofides_10.vrp",199,0,200,200,1395.85,8,1482.39,10000,199,28,27621
"Christofides_10.vrp",199,0,200,200,1395.85,9,1479.83,10000,201,23,20772
"Christofides_11.vrp",120,0,9999999,200,1042.11,1,1199.29,10000,142,13,13890
"Christofides_11.vrp",120,0,9999999,200,1042.11,10,1221.32,10000,136,14,14245
"Christofides_11.vrp",120,0,9999999,200,1042.11,2,1211.63,10000,132,19,16546
"Christofides_11.vrp",120,0,9999999,200,1042.11,3,1196.69,10000,136,14,14259
"Christofides_11.vrp",120,0,9999999,200,1042.11,4,1210.12,10000,141,13,12400
"Christofides_11.vrp",120,0,9999999,200,1042.11,5,1199.1,10000,142,11,11311
"Christofides_11.vrp",120,0,9999999,200,1042.11,6,1213.07,10000,138,16,16153
"Christofides_11.vrp",120,0,9999999,200,1042.11,7,1228.43,10000,134,16,16254
"Christofides_11.vrp",120,0,9999999,200,1042.11,8,1202.51,10000,138,13,8717
"Christofides_11.vrp",120,0,9999999,200,1042.11,9,1224.16,10000,140,17,17364
"Christofides_12.vrp",100,0,9999999,200,819.558,1,961.129,10000,105,18,13887
"Christofides_12.vrp",100,0,9999999,200,819.558,10,960.791,10000,108,9,9282
"Christofides_12.vrp",100,0,9999999,200,819.558,2,962.678,10000,103,17,13294
"Christofides_12.vrp",100,0,9999999,200,819.558,3,964.053,10000,101,18,13414
"Christofides_12.vrp",100,0,9999999,200,819.558,4,962.955,10000,105,14,12862
"Christofides_12.vrp",100,0,9999999,200,819.558,5,965.326,10000,103,13,11820
"Christofides_12.vrp",100,0,9999999,200,819.558,6,961.096,10000,108,13,10708
"Christofides_12.vrp",100,0,9999999,200,819.558,7,962.654,10000,105,17,15700
"Christofides_12.vrp",100,0,9999999,200,819.558,8,963.083,10000,104,18,11714
"Christofides_12.vrp",100,0,9999999,200,819.558,9,952.801,10000,109,14,14325
"Christofides_13.vrp",120,0,720,200,1541.14,1,1627.44,10000,120,13,6668
"Christofides_13.vrp",120,0,720,200,1541.14,10,1567.47,10000,120,10,8958
"Christofides_13.vrp",120,0,720,200,1541.14,2,1545.82,10000,120,12,9809
"Christofides_13.vrp",120,0,720,200,1541.14,3,1606.89,10000,120,12,11639
"Christofides_13.vrp",120,0,720,200,1541.14,4,1607.47,10000,120,10,6708
"Christofides_13.vrp",120,0,720,200,1541.14,5,1627.16,10000,120,10,8971
"Christofides_13.vrp",120,0,720,200,1541.14,6,1628.42,10000,120,13,13465
"Christofides_13.vrp",120,0,720,200,1541.14,7,1608.65,10000,120,13,12287
"Christofides_13.vrp",120,0,720,200,1541.14,8,1624.69,10000,120,13,12780
"Christofides_13.vrp",120,0,720,200,1541.14,9,1627.44,10000,120,10,10394
"Christofides_14.vrp",100,0,1040,200,866.365,1,972.17,10000,101,11,2433
"Christofides_14.vrp",100,0,1040,200,866.365,10,970.082,10000,100,8,8401
"Christofides_14.vrp",100,0,1040,200,866.365,2,971.796,10000,101,11,10150
"Christofides_14.vrp",100,0,1040,200,866.365,3,970.96,10000,101,11,8214
"Christofides_14.vrp",100,0,1040,200,866.365,4,970.043,10000,101,10,9793
"Christofides_14.vrp",100,0,1040,200,866.365,5,969.323,10000,100,9,7302
"Christofides_14.vrp",100,0,1040,200,866.365,6,981.226,10000,100,12,11940
"Christofides_14.vrp",100,0,1040,200,866.365,7,969.81,10000,101,11,9545
"Christofides_14.vrp",100,0,1040,200,866.365,8,968.165,10000,100,11,9160
"Christofides_14.vrp",100,0,1040,200,866.365,9,973.172,10000,101,9,9873
"Christofides_2.vrp",75,0,9999999,140,835.262,1,871.519,10000,83,9,8532
"Christofides_2.vrp",75,0,9999999,140,835.262,10,877.97,10000,82,8,7981
"Christofides_2.vrp",75,0,9999999,140,835.262,2,877.234,10000,81,9,9451
"Christofides_2.vrp",75,0,9999999,140,835.262,3,878.142,10000,80,9,9627
"Christofides_2.vrp",75,0,9999999,140,835.262,4,883.543,10000,81,7,7745
"Christofides_2.vrp",75,0,9999999,140,835.262,5,874.716,10000,81,8,7462
"Christofides_2.vrp",75,0,9999999,140,835.262,6,876.826,10000,81,9,9372
"Christofides_2.vrp",75,0,9999999,140,835.262,7,886.799,10000,78,9,6950
"Christofides_2.vrp",75,0,9999999,140,835.262,8,875.061,10000,81,9,9659
"Christofides_2.vrp",75,0,9999999,140,835.262,9,877.369,10000,78,7,5734
"Christofides_3.vrp",100,0,9999999,200,826.137,1,860.706,10000,104,11,4134
"Christofides_3.vrp",100,0,9999999,200,826.137,10,866.156,10000,103,9,9123
"Christofides_3.vrp",100,0,9999999,200,826.137,2,863.943,10000,107,11,10552
"Christofides_3.vrp",100,0,9999999,200,826.137,3,848.356,10000,106,11,10195
"Christofides_3.vrp",100,0,9999999,200,826.137,4,848.599,10000,106,9,8640
"Christofides_3.vrp",100,0,9999999,200,826.137,5,868.293,10000,105,9,9591
"Christofides_3.vrp",100,0,9999999,200,826.137,6,864.522,10000,107,11,9562
"Christofides_3.vrp",100,0,9999999,200,826.137,7,861.783,10000,107,11,7977
"Christofides_3.vrp",100,0,9999999,200,826.137,8,849.462,10000,105,11,7794
"Christofides_3.vrp",100,0,9999999,200,826.137,9,847.141,10000,106,8,6666
"Christofides_4.vrp",150,0,9999999,200,1028.42,1,1112.03,10000,153,22,21718
"Christofides_4.vrp",150,0,9999999,200,1028.42,10,1124.33,10000,159,15,14846
"Christofides_4.vrp",150,0,9999999,200,1028.42,2,1112.47,10000,166,18,11420
"Christofides_4.vrp",150,0,9999999,200,1028.42,3,1123.69,10000,162,19,19157
"Christofides_4.vrp",150,0,9999999,200,1028.42,4,1107.56,10000,156,19,19278
"Christofides_4.vrp",150,0,9999999,200,1028.42,5,1127.15,10000,162,15,15484
"Christofides_4.vrp",150,0,9999999,200,1028.42,6,1135.59,10000,169,18,18681
"Christofides_4.vrp",150,0,9999999,200,1028.42,7,1120.47,10000,164,18,18163
"Christofides_4.vrp",150,0,9999999,200,1028.42,8,1126.05,10000,163,18,18628
"Christofides_4.vrp",150,0,9999999,200,1028.42,9,1122.68,10000,161,14,14011
"Christofides_5.vrp",199,0,9999999,200,1291.289144,1,1418.11,10000,214,24,24265
"Christofides_5.vrp",199,0,9999999,200,1291.289144,10,1419.69,10000,216,19,19315
"Christofides_5.vrp",199,0,9999999,200,1291.289144,2,1407.29,10000,217,23,15704
"Christofides_5.vrp",199,0,9999999,200,1291.289144,3,1408.34,10000,208,25,25090
"Christofides_5.vrp",199,0,9999999,200,1291.289144,4,1410.11,10000,212,19,19091
"Christofides_5.vrp",199,0,9999999,200,1291.289144,5,1396.9,10000,210,19,19565
"Christofides_5.vrp",199,0,9999999,200,1291.289144,6,1407.21,10000,213,21,19436
"Christofides_5.vrp",199,0,9999999,200,1291.289144,7,1418.47,10000,208,26,26217
"Christofides_5.vrp",199,0,9999999,200,1291.289144,8,1405.74,10000,211,24,23868
"Christofides_5.vrp",199,0,9999999,200,1291.289144,9,1405.05,10000,207,20,20183
"Christofides_6.vrp",50,0,200,160,555.43,1,555.43,10000,50,5,2020
"Christofides_6.vrp",50,0,200,160,555.43,10,555.43,10000,50,4,1110
"Christofides_6.vrp",50,0,200,160,555.43,2,555.43,10000,50,5,1142
"Christofides_6.vrp",50,0,200,160,555.43,3,555.43,10000,50,5,139
"Christofides_6.vrp",50,0,200,160,555.43,4,555.43,10000,50,4,1925
"Christofides_6.vrp",50,0,200,160,555.43,5,555.43,10000,50,4,992
"Christofides_6.vrp",50,0,200,160,555.43,6,555.43,10000,50,5,454
"Christofides_6.vrp",50,0,200,160,555.43,7,555.43,10000,50,5,500
"Christofides_6.vrp",50,0,200,160,555.43,8,555.43,10000,50,5,2851
"Christofides_6.vrp",50,0,200,160,555.43,9,555.43,10000,50,4,1222
"Christofides_7.vrp",75,0,160,140,909.675,1,934.177,10000,75,11,8214
"Christofides_7.vrp",75,0,160,140,909.675,10,933.65,10000,76,9,6517
"Christofides_7.vrp",75,0,160,140,909.675,2,939.86,10000,77,12,9786
"Christofides_7.vrp",75,0,160,140,909.675,3,931.71,10000,76,11,8571
"Christofides_7.vrp",75,0,160,140,909.675,4,936.415,10000,76,9,8664
"Christofides_7.vrp",75,0,160,140,909.675,5,931.71,10000,77,9,8513
"Christofides_7.vrp",75,0,160,140,909.675,6,933.65,10000,76,11,2538
"Christofides_7.vrp",75,0,160,140,909.675,7,931.71,10000,76,11,7143
"Christofides_7.vrp",75,0,160,140,909.675,8,933.651,10000,76,11,1949
"Christofides_7.vrp",75,0,160,140,909.675,9,931.71,10000,76,9,7574
"Christofides_8.vrp",100,0,230,200,865.945,1,875.305,10000,101,12,9328
"Christofides_8.vrp",100,0,230,200,865.945,10,875.306,10000,101,9,5928
"Christofides_8.vrp",100,0,230,200,865.945,2,900.348,10000,101,11,11626
"Christofides_8.vrp",100,0,230,200,865.945,3,894.995,10000,101,12,11787
"Christofides_8.vrp",100,0,230,200,865.945,4,875.305,10000,101,9,5235
"Christofides_8.vrp",100,0,230,200,865.945,5,901.24,10000,102,9,8813
"Christofides_8.vrp",100,0,230,200,865.945,6,875.302,10000,100,12,11959
"Christofides_8.vrp",100,0,230,200,865.945,7,875.305,10000,101,12,4448
"Christofides_8.vrp",100,0,230,200,865.945,8,902.252,10000,102,12,11069
"Christofides_8.vrp",100,0,230,200,865.945,9,896.166,10000,100,9,9455
"Christofides_9.vrp",150,0,200,200,1162.55,1,1203.97,10000,150,18,13870
