"instance_name","num_clients","num_vehicles","maximum_travel_time","capacity","best_known_value","replication","best_solution_value","number_of_iterations","number_of_stop","total_time_seconds","time_to_best_ms"
"Christofides_10.vrp",199,0,200,200,1395.85,10,1442,10000,199,17,17384
"Christofides_10.vrp",199,0,200,200,1395.85,1,1446.11,10000,199,18,18220
"Christofides_10.vrp",199,0,200,200,1395.85,2,1438.28,10000,199,17,16914
"Christofides_10.vrp",199,0,200,200,1395.85,3,1445.26,10000,199,16,16454
"Christofides_10.vrp",199,0,200,200,1395.85,4,1438.27,10000,199,16,16442
"Christofides_10.vrp",199,0,200,200,1395.85,5,1431.34,10000,199,17,17251
"Christofides_10.vrp",199,0,200,200,1395.85,6,1445.84,10000,199,16,9473
"Christofides_10.vrp",199,0,200,200,1395.85,7,1427.54,10000,199,17,16155
"Christofides_10.vrp",199,0,200,200,1395.85,8,1437.6,10000,199,16,16729
"Christofides_10.vrp",199,0,200,200,1395.85,9,1447.28,10000,199,16,16898
"Christofides_1.vrp",50,0,9999999,160,524.611,10,538.495,10000,50,5,1415
"Christofides_1.vrp",50,0,9999999,160,524.611,1,531.752,10000,50,5,3605
"Christofides_1.vrp",50,0,9999999,160,524.611,2,539.604,10000,50,5,3233
"Christofides_1.vrp",50,0,9999999,160,524.611,3,532.517,10000,50,5,1145
"Christofides_1.vrp",50,0,9999999,160,524.611,4,539.524,10000,50,5,4663
"Christofides_1.vrp",50,0,9999999,160,524.611,5,540.856,10000,50,5,4200
"Christofides_1.vrp",50,0,9999999,160,524.611,6,528.288,10000,50,5,1905
"Christofides_1.vrp",50,0,9999999,160,524.611,7,533.608,10000,50,5,4606
"Christofides_1.vrp",50,0,9999999,160,524.611,8,538.549,10000,50,5,3502
"Christofides_1.vrp",50,0,9999999,160,524.611,9,525.931,10000,50,5,1971
"Christofides_11.vrp",120,0,9999999,200,1042.11,10,1092.09,10000,120,10,6789
"Christofides_11.vrp",120,0,9999999,200,1042.11,1,1074.27,10000,120,11,10127
"Christofides_11.vrp",120,0,9999999,200,1042.11,2,1083.94,10000,120,11,11002
"Christofides_11.vrp",120,0,9999999,200,1042.11,3,1089.66,10000,120,11,5274
"Christofides_11.vrp",120,0,9999999,200,1042.11,4,1191.05,10000,120,11,11425
"Christofides_11.vrp",120,0,9999999,200,1042.11,5,1053.58,10000,120,11,11008
"Christofides_11.vrp",120,0,9999999,200,1042.11,6,1203.7,10000,120,11,10768
"Christofides_11.vrp",120,0,9999999,200,1042.11,7,1085.28,10000,120,11,8012
"Christofides_11.vrp",120,0,9999999,200,1042.11,8,1101.88,10000,120,11,9248
"Christofides_11.vrp",120,0,9999999,200,1042.11,9,1134.4,10000,120,12,12679
"Christofides_12.vrp",100,0,9999999,200,819.558,10,897.748,10000,100,13,9670
"Christofides_12.vrp",100,0,9999999,200,819.558,1,898.798,10000,100,12,10014
"Christofides_12.vrp",100,0,9999999,200,819.558,2,866.603,10000,100,12,11854
"Christofides_12.vrp",100,0,9999999,200,819.558,3,946.998,10000,100,14,12056
