"instance_name","num_clients","num_vehicles","maximum_travel_time","capacity","best_known_value","replication","best_solution_value","number_of_iterations","number_of_stop","total_time_seconds","time_to_best_ms"
"Christofides_1.vrp",50,0,9999999,160,524.611,1,531.433,10000,51,6,4953
"Christofides_1.vrp",50,0,9999999,160,524.611,10,538.354,10000,52,6,3119
"Christofides_1.vrp",50,0,9999999,160,524.611,2,542.724,10000,52,6,3983
"Christofides_1.vrp",50,0,9999999,160,524.611,3,534.199,10000,51,6,6553
"Christofides_1.vrp",50,0,9999999,160,524.611,4,536.48,10000,50,6,4497
"Christofides_1.vrp",50,0,9999999,160,524.611,5,537.646,10000,54,6,3254
"Christofides_1.vrp",50,0,9999999,160,524.611,6,532.982,10000,51,6,4155
"Christofides_1.vrp",50,0,9999999,160,524.611,7,533.513,10000,50,6,6675
"Christofides_1.vrp",50,0,9999999,160,524.611,8,543.121,10000,52,6,982
"Christofides_1.vrp",50,0,9999999,160,524.611,9,525.931,10000,50,6,2915
"Christofides_10.vrp",199,0,200,200,1395.85,1,1447.51,10000,200,25,25163
"Christofides_10.vrp",199,0,200,200,1395.85,10,1436.43,10000,199,26,26482
"Christofides_10.vrp",199,0,200,200,1395.85,2,1437.03,10000,200,27,23229
"Christofides_10.vrp",199,0,200,200,1395.85,3,1452.37,10000,200,26,26171
"Christofides_10.vrp",199,0,200,200,1395.85,4,1438.3,10000,200,28,26561
"Christofides_10.vrp",199,0,200,200,1395.85,5,1442.35,10000,200,26,26595
"Christofides_10.vrp",199,0,200,200,1395.85,6,1426.15,10000,199,26,20341
"Christofides_10.vrp",199,0,200,200,1395.85,7,1433.04,10000,200,26,25590
"Christofides_10.vrp",199,0,200,200,1395.85,8,1427.86,10000,199,26,26317
"Christofides_10.vrp",199,0,200,200,1395.85,9,1453.15,10000,199,26,24421
"Christofides_11.vrp",120,0,9999999,200,1042.11,1,1065.86,10000,125,13,13395
"Christofides_11.vrp",120,0,9999999,200,1042.11,10,1084.28,10000,125,13,12567
"Christofides_11.vrp",120,0,9999999,200,1042.11,2,1082.31,10000,123,13,10677
"Christofides_11.vrp",120,0,9999999,200,1042.11,3,1086.07,10000,127,13,9261
"Christofides_11.vrp",120,0,9999999,200,1042.11,4,1123.8,10000,121,15,7452
"Christofides_11.vrp",120,0,9999999,200,1042.11,5,1048.65,10000,123,13,12952
"Christofides_11.vrp",120,0,9999999,200,1042.11,6,1170.05,10000,124,14,14701
"Christofides_11.vrp",120,0,9999999,200,1042.11,7,1056.55,10000,125,13,13059
"Christofides_11.vrp",120,0,9999999,200,1042.11,8,1058.46,10000,127,14,14034
"Christofides_11.vrp",120,0,9999999,200,1042.11,9,1130.09,10000,125,15,13892
"Christofides_12.vrp",100,0,9999999,200,819.558,1,899.865,10000,105,16,15191
"Christofides_12.vrp",100,0,9999999,200,819.558,10,892.345,10000,102,18,9170
"Christofides_12.vrp",100,0,9999999,200,819.558,2,870.375,10000,100,16,15176
"Christofides_12.vrp",100,0,9999999,200,819.558,3,920.613,10000,103,19,19450
"Christofides_12.vrp",100,0,9999999,200,819.558,4,871.863,10000,103,17,9422
"Christofides_12.vrp",100,0,9999999,200,819.558,5,866.899,10000,102,18,16738
"Christofides_12.vrp",100,0,9999999,200,819.558,6,868.77,10000,101,17,17034
"Christofides_12.vrp",100,0,9999999,200,819.558,7,893.926,10000,101,17,16941
"Christofides_12.vrp",100,0,9999999,200,819.558,8,893.27,10000,102,15,13968
"Christofides_12.vrp",100,0,9999999,200,819.558,9,899.739,10000,105,9,4787
"Christofides_13.vrp",120,0,720,200,1541.14,1,1542.86,10000,120,12,8669
"Christofides_13.vrp",120,0,720,200,1541.14,10,1550.21,10000,120,13,12483
"Christofides_13.vrp",120,0,720,200,1541.14,2,1545.14,10000,120,11,10000
"Christofides_13.vrp",120,0,720,200,1541.14,3,1622.98,10000,120,13,9907
"Christofides_13.vrp",120,0,720,200,1541.14,4,1568.43,10000,120,13,12929
"Christofides_13.vrp",120,0,720,200,1541.14,5,1571.5,10000,120,13,13490
"Christofides_13.vrp",120,0,720,200,1541.14,6,1543.98,10000,120,12,11458
"Christofides_13.vrp",120,0,720,200,1541.14,7,1620.22,10000,120,13,12150
"Christofides_13.vrp",120,0,720,200,1541.14,8,1568.72,10000,120,13,12688
"Christofides_13.vrp",120,0,720,200,1541.14,9,1552.41,10000,120,13,12189
"Christofides_14.vrp",100,0,1040,200,866.365,1,943.151,10000,101,10,8432
"Christofides_14.vrp",100,0,1040,200,866.365,10,926.346,10000,100,9,9637
"Christofides_14.vrp",100,0,1040,200,866.365,2,915.227,10000,100,9,7187
"Christofides_14.vrp",100,0,1040,200,866.365,3,959.504,10000,100,9,5557
"Christofides_14.vrp",100,0,1040,200,866.365,4,915.756,10000,100,9,7383
"Christofides_14.vrp",100,0,1040,200,866.365,5,915.227,10000,100,8,8239
"Christofides_14.vrp",100,0,1040,200,866.365,6,916.644,10000,100,9,9956
"Christofides_14.vrp",100,0,1040,200,866.365,7,932.718,10000,100,8,8234
"Christofides_14.vrp",100,0,1040,200,866.365,8,946.612,10000,100,10,8494
"Christofides_14.vrp",100,0,1040,200,866.365,9,949.131,10000,102,10,10110
"Christofides_2.vrp",75,0,9999999,140,835.262,1,854.348,10000,77,10,3929
"Christofides_2.vrp",75,0,9999999,140,835.262,10,871.407,10000,80,10,9212
"Christofides_2.vrp",75,0,9999999,140,835.262,2,860.838,10000,80,10,8808
"Christofides_2.vrp",75,0,9999999,140,835.262,3,860.634,10000,77,9,8446
"Christofides_2.vrp",75,0,9999999,140,835.262,4,862.923,10000,79,10,4192
"Christofides_2.vrp",75,0,9999999,140,835.262,5,852.926,10000,78,10,8846
"Christofides_2.vrp",75,0,9999999,140,835.262,6,857.745,10000,82,10,9730
"Christofides_2.vrp",75,0,9999999,140,835.262,7,858.877,10000,77,9,7626
"Christofides_2.vrp",75,0,9999999,140,835.262,8,868.533,10000,78,10,10118
"Christofides_2.vrp",75,0,9999999,140,835.262,9,847.39,10000,78,10,6576
"Christofides_3.vrp",100,0,9999999,200,826.137,1,831.959,10000,101,16,13851
"Christofides_3.vrp",100,0,9999999,200,826.137,10,836.658,10000,103,16,15635
"Christofides_3.vrp",100,0,9999999,200,826.137,2,836.38,10000,100,16,14125
"Christofides_3.vrp",100,0,9999999,200,826.137,3,838.215,10000,103,15,13164
"Christofides_3.vrp",100,0,9999999,200,826.137,4,829.632,10000,100,16,9556
"Christofides_3.vrp",100,0,9999999,200,826.137,5,829.66,10000,101,15,9875
"Christofides_3.vrp",100,0,9999999,200,826.137,6,836.022,10000,101,15,12876
"Christofides_3.vrp",100,0,9999999,200,826.137,7,844.916,10000,101,14,4539
"Christofides_3.vrp",100,0,9999999,200,826.137,8,835.03,10000,101,14,13819
"Christofides_3.vrp",100,0,9999999,200,826.137,9,829.632,10000,100,16,12702
"Christofides_4.vrp",150,0,9999999,200,1028.42,1,1065.27,10000,153,24,23831
"Christofides_4.vrp",150,0,9999999,200,1028.42,10,1062.77,10000,151,23,11460
"Christofides_4.vrp",150,0,9999999,200,1028.42,2,1064.35,10000,154,22,21015
"Christofides_4.vrp",150,0,9999999,200,1028.42,3,1056.14,10000,153,23,22250
"Christofides_4.vrp",150,0,9999999,200,1028.42,4,1079.05,10000,155,23,18944
"Christofides_4.vrp",150,0,9999999,200,1028.42,5,1061.14,10000,155,22,17751
"Christofides_4.vrp",150,0,9999999,200,1028.42,6,1066.25,10000,155,24,23184
